comparison_key,comparison,level,metric_source,taxon,n_present_videos_total,groups,mean_algaemix,occ_algaemix,n_algaemix,mean_mackerel,occ_mackerel,n_mackerel,test,statistic,p_value,effect_name,effect_size,perm_p_value_mean_diff,p_value_holm,p_value_bh,sig_raw,sig_holm,sig_bh,significant_raw,significant_holm,significant_bh
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,disappearing (pseudocheilinus evanidus),1,algaemix | mackerel,0.0,0.0,3,0.5,0.25,4,Mann-Whitney U,4.5,0.8571428571428571,cliffs_delta,-0.25,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,blackspot (lutjanus fulviflamma),5,algaemix | mackerel,4.333333333333333,1.0,3,6.75,0.5,4,Mann-Whitney U,6.0,1.0,cliffs_delta,0.0,0.7142857142857143,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,longnose (lethrinus olivaceus),2,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.5,0.25,4,Mann-Whitney U,6.0,1.0,cliffs_delta,0.0,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,longbarbel (parupeneus macronemus),7,algaemix | mackerel,2.6666666666666665,1.0,3,3.0,1.0,4,Mann-Whitney U,6.5,1.0,cliffs_delta,0.08333333333333333,0.8285714285714286,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,monk (acanthurus gahhm),7,algaemix | mackerel,2.0,1.0,3,2.0,1.0,4,Mann-Whitney U,6.0,1.0,cliffs_delta,0.0,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,mahsena (lethrinus mahsena),2,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.25,0.25,4,Mann-Whitney U,6.5,1.0,cliffs_delta,0.08333333333333333,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,redmouth (aethaloperca rogaa),2,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.25,0.25,4,Mann-Whitney U,6.5,1.0,cliffs_delta,0.08333333333333333,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,spotted (diodon hystrix),2,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.25,0.25,4,Mann-Whitney U,6.5,1.0,cliffs_delta,0.08333333333333333,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,emperor (pomacanthus imperator),3,algaemix | mackerel,0.6666666666666666,0.3333333333333333,3,0.75,0.5,4,Mann-Whitney U,5.5,1.0,cliffs_delta,-0.08333333333333333,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,bluefin (caranx melampygus),2,algaemix | mackerel,0.3333333333333333,0.3333333333333333,3,0.25,0.25,4,Mann-Whitney U,6.5,1.0,cliffs_delta,0.08333333333333333,1.0,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,threespot dascyllus (dascyllus trimaculatus),7,algaemix | mackerel,8.333333333333334,1.0,3,10.5,1.0,4,Mann-Whitney U,5.5,1.0,cliffs_delta,-0.08333333333333333,0.7428571428571429,1.0,1.0,ns,ns,ns,False,False,False
mix_vs_mackerel,Vergleich 2: algaemix vs mackerel,species,species_maxn_by_taxon,titan (balistoides viridescens),5,algaemix | mackerel,1.6666666666666667,0.6666666666666666,3,1.0,0.75,4,Mann-Whitney U,6.5,1.0,cliffs_delta,0.08333333333333333,0.6857142857142857,1.0,1.0,ns,ns,ns,False,False,False
